Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,base_bonus,other_bonus
1,LIB,Department of Public Libraries,Chevy Chase Library,F,103495.36,0.0,0.0,90001,Manager,Native American,2,1,Ph.D,41398.144,0.0
2,POL,Department of Police,MSB Communications Division,F,80355.77,5501.59,0.0,95113,Assistant,Hispanic,1,8,High School,136604.809,1925.5565
3,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,M,146923.0,0.0,0.0,95113,Senior,Other,1,7,Ph.D,220384.5,0.0
4,HHS,Department of Health and Human Services,Public Health Services Division,F,87969.0,0.0,5318.56,10001,Junior,Pacific Islander,4,1,Master,52781.4,1329.64
5,HHS,Department of Health and Human Services,Chief Operating Officer Division,F,111407.0,0.0,2213.12,85001,Assistant,Asian,4,10,High School,267376.8,553.28
6,HHS,Department of Health and Human Services,Public Health Services Division,F,102289.85,0.0,0.0,90001,Assistant,Hispanic,4,3,High School,102289.85,0.0
7,FRS,Fire and Rescue Services,Station 30,M,87356.0,2963.23,0.0,85001,Junior,Hispanic,5,2,Ph.D,78620.4,1037.1305
8,FRS,Fire and Rescue Services,Station 25,M,68658.0,8664.6,0.0,92101,Assistant,Native American,2,4,Bachelor,68658.0,3032.61
9,DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,68575.0,0.0,712.8,19102,Assistant,Black,4,10,Master,164580.0,178.2
10,POL,Department of Police,ISB Special Victims Investigations Division Child Abuse and Missing Children,F,77370.0,223.2,0.0,85001,Junior,White,3,10,Master,177951.0,78.11999999999999
11,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,125155.27,0.0,0.0,10001,Assistant,Hispanic,5,10,Bachelor,312888.17500000005,0.0
12,COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,52246.0,26540.07,0.0,85001,Senior,White,1,3,Master,36572.2,9289.0245
13,POL,Department of Police,Patrol Services Bureau,F,59082.0,497.35,0.0,77001,Junior,Hispanic,5,9,Bachelor,135888.6,174.0725
14,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,M,111407.0,0.0,0.0,92101,Manager,Pacific Islander,1,7,High School,167110.50000000003,0.0
15,FRS,Fire and Rescue Services,Station 31,M,68658.0,17621.91,0.0,90001,Junior,Hispanic,1,3,High School,48060.600000000006,6167.6685
16,HHS,Department of Health and Human Services,Child Welfare Services,F,29213.0,0.0,0.0,75201,Senior,Black,1,8,Bachelor,49662.100000000006,0.0
17,LIB,Department of Public Libraries,Gaithersburg Library,M,87969.0,0.0,1747.2,77001,Junior,Asian,3,4,Master,96765.9,436.8
18,DEP,Department of Environmental Protection,Resource Conversion,F,63425.0,3819.3,0.0,85001,Senior,Native American,4,3,Master,63425.0,1336.755
19,DOT,Department of Transportation,Highway Services,M,53424.76,10627.93,0.0,19102,Manager,Pacific Islander,2,7,Master,85479.61600000001,3719.7755
20,FRS,Fire and Rescue Services,Station 33,M,119197.0,36158.64,2877.9,60601,Manager,Black,1,1,Ph.D,35759.100000000006,13374.999
21,OMB,Office of Management and Budget,County Stat,M,169722.28,0.0,0.0,95113,Junior,Pacific Islander,1,2,Ph.D,84861.14,0.0
22,DOT,Department of Transportation,DOT 50 Highway Services,M,48569.11,8568.06,0.0,19102,Senior,Black,2,9,Ph.D,97138.22,2998.8209999999995
23,DOT,Department of Transportation,Highway Services,M,80086.0,11753.1,1591.2,19102,Assistant,White,4,5,Master,112120.4,4511.385
24,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,100485.0,1811.69,0.0,92101,Senior,Hispanic,4,7,Ph.D,180873.0,634.0915
25,FRS,Fire and Rescue Services,Station 26,M,68658.0,11298.53,0.0,85001,Junior,White,2,1,High School,27463.2,3954.4855
26,OLR,Office of Labor Relations,Labor Relations Division,M,141144.02,0.0,0.0,78201,Manager,Other,1,2,High School,70572.01,0.0
27,HHS,Department of Health and Human Services,Behavioral Health and Crisis Services Division,F,127756.46,0.0,0.0,77001,Senior,White,4,9,Ph.D,281064.21200000006,0.0
28,FRS,Fire and Rescue Services,Field Recruits,M,48942.0,117.67,0.0,19102,Assistant,Other,3,5,Bachelor,63624.6,41.1845
29,POL,Department of Police,PSB 3rd District Patrol,F,64209.0,0.0,0.0,77001,Assistant,Native American,5,8,Master,134838.90000000002,0.0
30,CEC,Community Engagement Cluster,CEC 16 Regional Services Centers,F,163618.0,0.0,0.0,85001,Assistant,Other,3,1,Bachelor,81809.0,0.0
31,POL,Department of Police,PSB 5th District Patrol,M,59939.0,2812.0,0.0,75201,Assistant,White,4,1,Bachelor,35963.4,984.2
32,HHS,Department of Health and Human Services,Office of Community Affairs Division,F,65037.82,0.0,0.0,75201,Junior,Pacific Islander,3,5,High School,84549.166,0.0
33,DOT,Department of Transportation,Transit Gaithersburg Ride On,M,45634.8,7223.9,0.0,78201,Junior,White,3,7,Master,77579.16,2528.365
34,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,M,92211.0,0.0,3623.44,95113,Junior,Asian,5,10,Ph.D,230527.5,905.86
35,POL,Department of Police,PSB 3rd District Community Operations,F,95112.0,2645.18,6724.51,90001,Manager,Asian,2,1,High School,38044.8,2606.9405
36,HHS,Department of Health and Human Services,Child Welfare Services,F,85377.92,0.0,0.0,19102,Manager,Pacific Islander,5,8,High School,179293.63199999998,0.0
37,DGS,Department of General Services,Property Management,M,106250.0,46483.42,0.0,10001,Senior,Hispanic,2,2,Bachelor,63750.0,16269.196999999998
38,ABS,Alcohol Beverage Services,Retail Administration,M,108656.27,0.0,1484.8,60601,Manager,Asian,5,4,Master,141253.151,371.2
39,DOT,Department of Transportation,Transit Nicholson Ride On,M,52734.0,4685.98,0.0,78201,Assistant,Asian,2,4,Master,52734.00000000001,1640.0929999999998
40,POL,Department of Police,PSB 2nd District Patrol,F,80077.0,0.0,0.0,92101,Assistant,Native American,3,2,Ph.D,56053.90000000001,0.0
41,DPS,Department of Permitting Services,Residential Inspections,M,70596.6,0.0,0.0,90001,Senior,Hispanic,4,2,Master,56477.280000000006,0.0
42,HHS,Department of Health and Human Services,Services to End and Prevent Homelessness Division,F,77127.8,0.0,0.0,19102,Manager,Native American,5,5,Bachelor,115691.7,0.0
43,ABS,Alcohol Beverage Services,Darnestown,M,52772.94,164.04,0.0,10001,Manager,Other,1,1,Bachelor,15831.882,57.414
