Employee_id,Department,Department_Name,Division,Gender,Base_Salary,2021_Overtime_Pay,2021_Longevity_Pay,Post_Code,Position,Race,Bonus_Level,Length_of_Service,Education,other_bonus,base_bonus
1,LIB,Department of Public Libraries,Chevy Chase Library,F,103495.36,0.0,0.0,90001,Manager,Native American,2,1,Ph.D,0.0,1242.3542771853845
2,POL,Department of Police,MSB Communications Division,F,80355.77,5501.59,0.0,95113,Assistant,Hispanic,1,8,High School,1925.5565,29937.70113489841
3,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,M,146923.0,0.0,0.0,95113,Senior,Other,1,7,Ph.D,0.0,-32.96794059444101
4,HHS,Department of Health and Human Services,Public Health Services Division,F,87969.0,0.0,5318.56,10001,Junior,Pacific Islander,4,1,Master,1329.64,21057.13561229009
5,HHS,Department of Health and Human Services,Chief Operating Officer Division,F,111407.0,0.0,2213.12,85001,Assistant,Asian,4,10,High School,553.28,9487.5350908543
6,HHS,Department of Health and Human Services,Public Health Services Division,F,102289.85,0.0,0.0,90001,Assistant,Hispanic,4,3,High School,0.0,1242.3542771853845
7,FRS,Fire and Rescue Services,Station 30,M,87356.0,2963.23,0.0,85001,Junior,Hispanic,5,2,Ph.D,1037.1305,86593.33048822908
8,FRS,Fire and Rescue Services,Station 25,M,68658.0,8664.6,0.0,92101,Assistant,Native American,2,4,Bachelor,3032.61,253265.7045776996
9,DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,68575.0,0.0,712.8,19102,Assistant,Black,4,10,Master,178.2,14851.182491792182
10,POL,Department of Police,ISB Special Victims Investigations Division Child Abuse and Missing Children,F,77370.0,223.2,0.0,85001,Junior,White,3,10,Master,78.11999999999999,2406.5270742570574
11,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,125155.27,0.0,0.0,10001,Assistant,Hispanic,5,10,Bachelor,0.0,-32.96794059444101
12,COR,Correction and Rehabilitation,DS MCDC Custody and Security,M,52246.0,26540.07,0.0,85001,Senior,White,1,3,Master,9289.0245,775832.5653260999
13,POL,Department of Police,Patrol Services Bureau,F,59082.0,497.35,0.0,77001,Junior,Hispanic,5,9,Bachelor,174.0725,3836.446305068883
14,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,M,111407.0,0.0,0.0,92101,Manager,Pacific Islander,1,7,High School,0.0,-32.96794059444101
15,FRS,Fire and Rescue Services,Station 31,M,68658.0,17621.91,0.0,90001,Junior,Hispanic,1,3,High School,6167.6685,515121.38543253887
16,HHS,Department of Health and Human Services,Child Welfare Services,F,29213.0,0.0,0.0,75201,Senior,Black,1,8,Bachelor,0.0,1242.3542771853845
17,LIB,Department of Public Libraries,Gaithersburg Library,M,87969.0,0.0,1747.2,77001,Junior,Asian,3,4,Master,436.8,36450.74086337008
